mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q_large,0.2,7.732983774057031,0.3735948615033477,0.8706838098697626,3.483423585921095,0.9996911770519281,0.008111147144204647,0.0147196814177466,0.006247506208913239,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_large,0.4,6.196244204868465,0.3885076608103988,0.8386119128077154,3.274070983799443,0.999127159215672,0.013137663048796579,0.024171411076571836,0.010119115090472806,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_large,0.6,4.289219804411135,0.18344217862505158,0.7668573667006815,3.058445830440637,0.998986632601152,0.012945480594754762,0.019572932360161666,0.009971089040208351,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_large,0.8,3.060046057050993,0.2554594308285365,0.6732075330383382,2.529576632324005,0.9902427592749371,0.03541943241924807,0.07030421934383213,0.027281359839901348,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q0.5_range,0.0,5.432078193334155,0.4539524859796265,0.8159083937291024,3.14041537323557,0.9978713720627359,0.019973490006501907,0.04057515408183132,0.015384322415904485,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q0.5_range,0.2,9.360734607839047,0.5707302640649564,0.8931707775196873,3.005490439708267,0.9996810183058292,0.008456421488637256,0.01488174481818394,0.006513449308239505,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q0.5_range,0.4,16.32000575821076,0.7822828487221093,0.9387255118156506,2.8800098954516375,0.9999412652822217,0.0038132807133229706,0.0069591266953699105,0.0029371301628815932,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_small,0.0,13.820711593785887,1.6212836342164165,0.9276448254336178,3.5260496748850203,0.9994979279143419,0.011000471622525326,0.0234055982942456,0.00848785965753687,8,20,100,scaled_L,xsum,xsum_1,100,2
q_small,0.2,19.109792030826682,2.7731869143880123,0.9476708067577677,3.2961125130941054,0.9996148735052022,0.009837216849117616,0.016028322005392504,0.007593941038486665,8,25,125,scaled_L,xsum,xsum_1,125,2
q_small,0.4,22.62093553711456,1.1268723447752607,0.9557931634454604,3.00855848678567,0.9999681494621143,0.0028565917515084352,0.004208016641053192,0.0022021839672182286,8,33,167,scaled_L,xsum,xsum_1,167,2
q_small,0.6,22.70568267411936,1.3419749466791302,0.9559581619124876,2.63209639137999,0.9999555159090803,0.0033541521144378294,0.007089689413057876,0.0026030066643408086,8,50,250,scaled_L,xsum,xsum_1,250,2
q_small,0.8,19.759341990726224,1.5524392840923738,0.949391027268553,2.0200826412315114,0.9998947663495776,0.005138771273849986,0.009775058232417422,0.003976213248028837,8,100,501,scaled_L,xsum,xsum_1,501,2
q_large,0.0,13.820711593785887,1.6212836342164165,0.9276448254336178,3.5260496748850203,0.9994979279143419,0.011000471622525326,0.0234055982942456,0.00848785965753687,8,20,100,scaled_L,xsum,xsum_1,100,2
q_large,0.2,9.627841425079685,0.749463033958194,0.8961345585319792,3.376276261370632,0.9995118228433273,0.010473633765107702,0.02014921827634719,0.00808522964277902,8,25,125,scaled_L,xsum,xsum_1,125,2
q_large,0.4,7.070272758103386,0.5185199653294973,0.8585627408993692,3.1810902101178953,0.9991249894488462,0.013455124723916455,0.02265120471857962,0.010372731745193839,8,33,167,scaled_L,xsum,xsum_1,167,2
q_large,0.6,4.053826353157709,0.15631445473142927,0.7533194782206064,3.142081953734804,0.9990443137835464,0.012256778314842742,0.021871250347188287,0.009511934625609814,8,50,250,scaled_L,xsum,xsum_1,250,2
