набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,15,эхо x4,0.7820235600158084,0.09626182956025015,0.24037536223309433,0.6683333333333333
механические,15,эхо на четверти,0.7520151311777411,0.09459493888009933,0.38240194585334303,0.36000000000000004
механические,15,словарь к 25,0.761193588549926,0.08966595201211773,0.41114840573170275,0.625
механические,15,словарь к 60,0.7468519808450352,0.09656674347429456,0.40954064423009645,0.5116666666666667
механические,15,все слова разные,0.7450057137708846,0.09978778527341077,0.43308233266432855,0.19666666666666666
механические,15,чужие хапаксы,0.7451290225683933,0.10323685615800425,0.4338794105042106,0.3033333333333333
механические,15,хапаксы одного домена,0.7396529645302717,0.10641010915084874,0.4282093259445395,0.3
механические,15,20 чужих хапаксов,0.7483433916496215,0.1037257823245023,0.4097715034910924,0.2816666666666667
механические,15,маркер каждые 3,0.7764145196166786,0.08496783918016143,0.4095872099096975,0.4466666666666666
механические,15,без пунктуации,0.7611021322496644,0.09061993823908483,0.47588018765220913,0.31833333333333336
механические,15,без служебных,0.7409387146020107,0.10060571055028111,0.419488298374411,0.265
механические,16,исходный,0.760777342800275,0.08916615230099399,0.4484944871868041,0.3499999999999999
механические,16,перемешивание,0.756813754068563,0.08712373347919129,0.49011615190121155,0.325
механические,16,эхо x2,0.7746044969009497,0.06897211065279794,0.37983808216133813,0.45166666666666666
механические,16,эхо x4,0.796211328608534,0.0741451685989165,0.27194805646844583,0.635
механические,16,эхо на четверти,0.7536840418621423,0.09413579259169164,0.4355861814888104,0.35333333333333333
механические,16,словарь к 25,0.7655775781930667,0.08495653159652934,0.46276377264752416,0.6233333333333334
механические,16,словарь к 60,0.7532964304114734,0.08226100341208803,0.47368394113144835,0.5133333333333333
механические,16,все слова разные,0.7360207530673529,0.09080433808499605,0.45652324464101257,0.2966666666666667
механические,16,чужие хапаксы,0.7333259558786983,0.09054375838257443,0.44063339092232895,0.3116666666666667
механические,16,хапаксы одного домена,0.7356509430380695,0.08885299078658222,0.4446106939282248,0.3366666666666666
механические,16,20 чужих хапаксов,0.7497324832722517,0.08897147903791723,0.4544133282077019,0.3233333333333333
механические,16,маркер каждые 3,0.7848952150694365,0.07386432885607469,0.4225824283295445,0.44166666666666665
механические,16,без пунктуации,0.7677938875125042,0.08177042421683688,0.49453449572015423,0.30833333333333335
механические,16,без служебных,0.7504398308496348,0.09827258496882418,0.4509816856261879,0.27166666666666667
механические,17,исходный,0.7450581551446481,0.08923243106450662,0.4198802968381719,0.39833333333333326
механические,17,перемешивание,0.739041474275146,0.09732480478116118,0.47266026205115863,0.38166666666666665
механические,17,эхо x2,0.7678356272626318,0.08267471810274406,0.3510481681160436,0.5066666666666667
механические,17,эхо x4,0.7926207270985809,0.07448167702512999,0.22986346658687118,0.6383333333333333
механические,17,эхо на четверти,0.7439193278752443,0.09385311986835426,0.3882998772602968,0.43333333333333335
механические,17,словарь к 25,0.7660459336295125,0.09087062143325482,0.4422881566313451,0.65
механические,17,словарь к 60,0.7520638085024999,0.09493422907506747,0.42923101076590564,0.545
механические,17,все слова разные,0.7069727468095338,0.11235228872035648,0.4126853755569016,0.33666666666666667
механические,17,чужие хапаксы,0.7191352779623629,0.12254598400603117,0.40411786993374915,0.3333333333333333
